English Name,Nepali Name,Unit,Minimum Price,Maximum Price,Average Price
Tomato Big(Indian),,Kg,Rs. 50,Rs. 60, 55.00
Tomato Small(Local),,Kg,Rs. 10,Rs. 15, 12.50
Tomato Small(Tunnel),,Kg,Rs. 15,Rs. 20, 17.50
Potato Red,,Kg,Rs. 56,Rs. 58, 57.00
Potato Red(Indian),,KG,Rs. 26,Rs. 28, 27.00
Potato Red(Mude),,Kg,Rs. 48,Rs. 50, 49.00
Potato White,,Kg,Rs. 41,Rs. 42, 41.50
Onion Dry (Indian),,Kg,Rs. 42,Rs. 45, 43.50
Carrot(Local),,Kg,Rs. 140,Rs. 160, 150.00
Carrot(Terai),,Kg,Rs. 130,Rs. 140, 135.00
Cabbage(Local),,Kg,Rs. 35,Rs. 45, 40.00
Cauli Local,,Kg,Rs. 90,Rs. 100, 95.00
Raddish Red,,Kg,Rs. 40,Rs. 50, 45.00
Raddish White(Local),,Kg,Rs. 20,Rs. 25, 22.50
Raddish White(Hybrid),,Kg,Rs. 25,Rs. 30, 27.50
Brinjal Long,,Kg,Rs. 30,Rs. 40, 35.00
Brinjal Round,,Kg,Rs. 60,Rs. 70, 65.00
Cow pea(Long),,Kg,Rs. 80,Rs. 100, 90.00
Cowpea(Short),,Kg,Rs. 100,Rs. 110, 105.00
French Bean(Local),,Kg,Rs. 90,Rs. 100, 95.00
French Bean(Hybrid),,Kg,Rs. 90,Rs. 100, 95.00
Sword Bean,,Kg,Rs. 180,Rs. 200, 190.00
Soyabean Green,,Kg,Rs. 80,Rs. 90, 85.00
Bitter Gourd,,Kg,Rs. 60,Rs. 70, 65.00
Bottle Gourd,,Kg,Rs. 40,Rs. 50, 45.00
Pointed Gourd(Local),,Kg,Rs. 70,Rs. 80, 75.00
Pointed Gourd(Terai),,Kg,Rs. 70,Rs. 80, 75.00
Snake Gourd,,Kg,Rs. 30,Rs. 40, 35.00
Smooth Gourd,,Kg,Rs. 50,Rs. 60, 55.00
Sponge Gourd,,Kg,Rs. 60,Rs. 70, 65.00
Pumpkin,,Kg,Rs. 35,Rs. 40, 37.50
Squash(Round),,Kg,Rs. 40,Rs. 50, 45.00
Turnip,,Kg,Rs. 80,Rs. 90, 85.00
Okara,,Kg,Rs. 50,Rs. 60, 55.00
Arum,,Kg,Rs. 40,Rs. 50, 45.00
Christophine,,Kg,Rs. 10,Rs. 15, 12.50
Brd Leaf Mustard,,Kg,Rs. 180,Rs. 200, 190.00
Spinach Leaf,,Kg,Rs. 250,Rs. 300, 275.00
Cress Leaf,,Kg,Rs. 280,Rs. 300, 290.00
Mustard Leaf,,Kg,Rs. 80,Rs. 90, 85.00
Onion Green,,Kg,Rs. 180,Rs. 200, 190.00
Mushroom(Kanya),,Kg,Rs. 220,Rs. 250, 235.00
Mushroom(Button),,KG,Rs. 400,Rs. 450, 425.00
Asparagus,,Kg,Rs. 700,Rs. 800, 750.00
Neuro,,Kg,Rs. 80,Rs. 90, 85.00
Brocauli,,Kg,Rs. 200,Rs. 250, 225.00
Sugarbeet,,Kg,Rs. 90,Rs. 100, 95.00
Drumstick,,Kg,Rs. 180,Rs. 200, 190.00
Red Cabbbage,,Kg,Rs. 350,Rs. 400, 375.00
Lettuce,,Kg,Rs. 300,Rs. 350, 325.00
Celery,,Kg,Rs. 400,Rs. 450, 425.00
Turnip A,,Kg,Rs. 80,Rs. 90, 85.00
Tamarind,,Kg,Rs. 140,Rs. 150, 145.00
Bamboo Shoot,,Kg,Rs. 90,Rs. 100, 95.00
Tofu,,Kg,Rs. 90,Rs. 100, 95.00
Gundruk,,Kg,Rs. 150,Rs. 200, 175.00
Apple(Jholey),,Kg,Rs. 190,Rs. 200, 195.00
Apple(Fuji),,KG,Rs. 190,Rs. 200, 195.00
Banana,,Doz,Rs. 100,Rs. 110, 105.00
Lime,,Kg,Rs. 150,Rs. 160, 155.00
Pomegranate,,Kg,Rs. 300,Rs. 350, 325.00
Orange(Indian),,Kg,Rs. 120,Rs. 130, 125.00
Water Melon(Green),,Kg,Rs. 40,Rs. 50, 45.00
Sweet Orange,,Kg,Rs. 120,Rs. 130, 125.00
Pineapple,,1 Pc,Rs. 150,Rs. 160, 155.00
Cucumber(Local),,Kg,Rs. 50,Rs. 70, 60.00
Cucumber(Hybrid),,KG,Rs. 20,Rs. 30, 25.00
Lemon,,Kg,Rs. 50,Rs. 60, 55.00
Pear(Local),,Kg,Rs. 50,Rs. 60, 55.00
Pear(Chinese),,Kg,Rs. 190,Rs. 200, 195.00
Papaya(Indian),,Kg,Rs. 70,Rs. 80, 75.00
Guava,,Kg,Rs. 100,Rs. 120, 110.00
Mombin,,Kg,Rs. 50,Rs. 60, 55.00
Kiwi,,Kg,Rs. 500,Rs. 600, 550.00
Ginger,,Kg,Rs. 80,Rs. 90, 85.00
Chilli Dry,,Kg,Rs. 300,Rs. 320, 310.00
Chilli Green,,Kg,Rs. 80,Rs. 90, 85.00
Chilli Green(Bullet),,KG,Rs. 110,Rs. 120, 115.00
Chilli Green(Machhe),,KG,Rs. 50,Rs. 60, 55.00
Chilli Green(Akbare),,KG,Rs. 150,Rs. 200, 175.00
Capsicum,,Kg,Rs. 100,Rs. 120, 110.00
Garlic Green,,Kg,Rs. 350,Rs. 400, 375.00
Coriander Green,,Kg,Rs. 400,Rs. 500, 450.00
Garlic Dry Chinese,,Kg,Rs. 190,Rs. 210, 200.00
Garlic Dry Nepali,,Kg,Rs. 160,Rs. 170, 165.00
Clive Dry,,Kg,Rs. 280,Rs. 300, 290.00
Clive Green,,Kg,Rs. 320,Rs. 350, 335.00
Fish Fresh(Rahu),,KG,Rs. 270,Rs. 280, 275.00
Fish Fresh(Bachuwa),,KG,Rs. 225,Rs. 235, 230.00
Fish Fresh(Chhadi),,KG,Rs. 220,Rs. 230, 225.00
Fish Fresh(Mungari),,KG,Rs. 250,Rs. 260, 255.00
