English Name,Nepali Name,Unit,Minimum Price,Maximum Price,Average Price
,ठूलो गोलभेडा(भारतीय),केजी,रू. ५०,रू. ६०, ५५.००
,गोलभेडा सानो(लोकल),के.जी.,रू. १०,रू. १५, १२.५०
,गोलभेडा सानो(टनेल),के जी,रू. १५,रू. २०, १७.५०
,आलु रातो,के.जी.,रू. ५६,रू. ५८, ५७.००
,आलु रातो(भारतीय),के जी,रू. २६,रू. २८, २७.००
,आलु रातो(मुडे),केजी,रू. ४८,रू. ५०, ४९.००
,आलु सेतो,के.जी.,रू. ४१,रू. ४२, ४१.५०
,प्याज सुकेको (भारतीय),के.जी.,रू. ४२,रू. ४५, ४३.५०
,गाजर(लोकल),के.जी.,रू. १४०,रू. १६०, १५०.००
,गाजर(तराई),केजी,रू. १३०,रू. १४०, १३५.००
,बन्दा(लोकल),के.जी.,रू. ३५,रू. ४५, ४०.००
,काउली स्थानिय,के.जी.,रू. ९०,रू. १००, ९५.००
,मूला रातो,के.जी.,रू. ४०,रू. ५०, ४५.००
,मूला सेतो(लोकल),के.जी.,रू. २०,रू. २५, २२.५०
,सेतो मूला(हाइब्रीड),केजी,रू. २५,रू. ३०, २७.५०
,भन्टा लाम्चो,के.जी.,रू. ३०,रू. ४०, ३५.००
,भन्टा डल्लो,के.जी.,रू. ६०,रू. ७०, ६५.००
,बोडी(तने),के.जी.,रू. ८०,रू. १००, ९०.००
,मकै बोडी,केजी,रू. १००,रू. ११०, १०५.००
,घिउ सिमी(लोकल),के.जी.,रू. ९०,रू. १००, ९५.००
,घिउ सिमी(हाइब्रीड),केजी,रू. ९०,रू. १००, ९५.००
,टाटे सिमी,के.जी.,रू. १८०,रू. २००, १९०.००
,भटमासकोशा,के.जी.,रू. ८०,रू. ९०, ८५.००
,तितो करेला,के.जी.,रू. ६०,रू. ७०, ६५.००
,लौका,के.जी.,रू. ४०,रू. ५०, ४५.००
,परवर(लोकल),के.जी.,रू. ७०,रू. ८०, ७५.००
,परवर(तराई),केजी,रू. ७०,रू. ८०, ७५.००
,चिचिण्डो,के.जी.,रू. ३०,रू. ४०, ३५.००
,घिरौला,के.जी.,रू. ५०,रू. ६०, ५५.००
,झिगूनी,के.जी.,रू. ६०,रू. ७०, ६५.००
