Nepali Name,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
ठूलो गोलभेडा(भारतीय),50,60,55.0
गोलभेडा सानो(लोकल),10,15,12.5
गोलभेडा सानो(टनेल),15,20,17.5
आलु रातो,56,58,57.0
आलु रातो(भारतीय),26,28,27.0
आलु रातो(मुडे),48,50,49.0
आलु सेतो,41,42,41.5
प्याज सुकेको (भारतीय),42,45,43.5
गाजर(लोकल),140,160,150.0
गाजर(तराई),130,140,135.0
बन्दा(लोकल),35,45,40.0
काउली स्थानिय,90,100,95.0
मूला रातो,40,50,45.0
मूला सेतो(लोकल),20,25,22.5
सेतो मूला(हाइब्रीड),25,30,27.5
भन्टा लाम्चो,30,40,35.0
भन्टा डल्लो,60,70,65.0
बोडी(तने),80,100,90.0
मकै बोडी,100,110,105.0
घिउ सिमी(लोकल),90,100,95.0
घिउ सिमी(हाइब्रीड),90,100,95.0
टाटे सिमी,180,200,190.0
भटमासकोशा,80,90,85.0
तितो करेला,60,70,65.0
लौका,40,50,45.0
परवर(लोकल),70,80,75.0
परवर(तराई),70,80,75.0
चिचिण्डो,30,40,35.0
घिरौला,50,60,55.0
झिगूनी,60,70,65.0
फर्सी पाकेको,35,40,37.5
हरियो फर्सी(डल्लो),40,50,45.0
सलगम,80,90,85.0
भिण्डी,50,60,55.0
पिंडालू,40,50,45.0
स्कूस,10,15,12.5
रायो साग,180,200,190.0
पालूगो साग,250,300,275.0
चमसूरको साग,280,300,290.0
तोरीको साग,80,90,85.0
प्याज हरियो,180,200,190.0
च्याउ(कन्य),220,250,235.0
च्याउ(डल्ले),400,450,425.0
कुरीलो,700,800,750.0
न्यूरो,80,90,85.0
ब्रोकाउली,200,250,225.0
चुकुन्दर,90,100,95.0
सजिवन,180,200,190.0
रातो बन्दा,350,400,375.0
जिरीको साग,300,350,325.0
सेलरी,400,450,425.0
गान्टे मूला,80,90,85.0
इमली,140,150,145.0
तामा,90,100,95.0
तोफु,90,100,95.0
गुन्दुक,150,200,175.0
स्याउ(झोले),190,200,195.0
स्याउ(फूजी),190,200,195.0
केरा,100,110,105.0
कागती,150,160,155.0
अनार,300,350,325.0
सुन्तला(भारतीय),120,130,125.0
तरबुजा(हरियो),40,50,45.0
मौसम,120,130,125.0
भुई कटहर,150,160,155.0
काक्रो(लोकल),50,70,60.0
काक्रो(हाइब्रीड),20,30,25.0
निबुवा,50,60,55.0
नासपाती(लोकल),50,60,55.0
नासपाती(चाइनिज),190,200,195.0
मेवा(भारतीय),70,80,75.0
अम्बा,100,120,110.0
लप्सी,50,60,55.0
किवि,500,600,550.0
अदुवा,80,90,85.0
खु्र्सानी सुकेको,300,320,310.0
खु्र्सानी हरियो,80,90,85.0
खुर्सानी हरियो(बुलेट),110,120,115.0
खुर्सानी हरियो(माछे),50,60,55.0
खुर्सानी हरियो(अकबरे),150,200,175.0
भेडे खु्र्सानी,100,120,110.0
लसुन हरियो,350,400,375.0
हरियो धनिया,400,500,450.0
लसुन सुकेको चाइनिज,190,210,200.0
लसुन सुकेको नेपाली,160,170,165.0
छ्यापी सुकेको,280,300,290.0
छ्यापी हरियो,320,350,335.0
ताजा माछा(रहु),270,280,275.0
ताजा माछा(बचुवा),225,235,230.0
ताजा माछा(छडी),220,230,225.0
ताजा माछा(मुंगरी),250,260,255.0
