English Name,Nepali Name,Unit,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
Amla,अमला,Kg,80,90,85.0
Apple(Fuji),स्याउ(फूजी),Kg,250,280,265.0
Apple(Jholey),स्याउ(झोले),Kg,150,180,165.0
Arum,पिंडालू,Kg,40,50,45.0
Avocado,आभोकाडो,Kg,400,500,450.0
Bakula,बकूला,Kg,40,50,45.0
Bamboo Shoot,तामा,Kg,90,100,95.0
Banana,केरा,Doz,110,120,115.0
Barela,बरेला,Kg,40,50,45.0
Bitter Gourd,तितो करेला,Kg,150,160,155.0
Bottle Gourd,लौका,Kg,60,70,65.0
Brd Leaf Mustard,रायो साग,Kg,15,20,17.5
Brinjal Long,भन्टा लाम्चो,Kg,70,80,75.0
Brinjal Round,भन्टा डल्लो,Kg,70,80,75.0
Brocauli,ब्रोकाउली,Kg,40,50,45.0
Cabbage,बन्दा(नरिवल),Kg,20,25,22.5
Cabbage(Local),बन्दा(लोकल),Kg,20,25,22.5
Cabbage(Terai),बन्दा(तराई),Kg,20,25,22.5
Capsicum,भेडे खु्र्सानी,Kg,130,140,135.0
Carrot(Local),गाजर(लोकल),Kg,25,35,30.0
Carrot(Terai),गाजर(तराई),Kg,25,35,30.0
Cauli Local,काउली स्थानिय,Kg,30,40,35.0
Cauli Local(Jyapu),स्थानीय काउली(ज्यापु),Kg,50,60,55.0
Cauli Terai,काउली तराई,Kg,25,35,30.0
Celery,सेलरी,Kg,110,150,130.0
Chilli Dry,खु्र्सानी सुकेको,Kg,350,360,355.0
Chilli Green,खु्र्सानी हरियो,Kg,160,170,165.0
Chilli Green(Bullet),खुर्सानी हरियो(बुलेट),Kg,120,130,125.0
Chilli Green(Machhe),खुर्सानी हरियो(माछे),Kg,80,90,85.0
Christophine,स्कूस,Kg,40,50,45.0
Clive Dry,छ्यापी सुकेको,Kg,300,320,310.0
Clive Green,छ्यापी हरियो,Kg,70,80,75.0
Coriander Green,हरियो धनिया,Kg,40,50,45.0
Cress Leaf,चमसूरको साग,Kg,50,60,55.0
Cucumber(Hybrid),काक्रो(हाइब्रीड),Kg,50,60,55.0
Fennel Leaf,सौफको साग,Kg,50,60,55.0
Fenugreek Leaf,मेथीको साग,Kg,50,60,55.0
Fish Fresh(Bachuwa),ताजा माछा(बचुवा),Kg,250,270,260.0
Fish Fresh(Chhadi),ताजा माछा(छडी),Kg,250,270,260.0
Fish Fresh(Mungari),ताजा माछा(मुंगरी),Kg,250,270,260.0
Fish Fresh(Rahu),ताजा माछा(रहु),Kg,290,310,300.0
French Bean(Hybrid),घिउ सिमी(हाइब्रीड),Kg,90,100,95.0
French Bean(Local),घिउ सिमी(लोकल),Kg,80,90,85.0
French Bean(Rajma),घिउ सिमी(राजमा),Kg,80,90,85.0
Garlic Dry Chinese,लसुन सुकेको चाइनिज,Kg,200,220,210.0
